home_abbr,away_abbr,commence_time,book_count,ml_home,ml_away,market_p_home
ARI,SEA,,0,,,0.513806287170773
PIT,MIN,,0,,,0.4248871695680207
ATL,WAS,,0,,,0.3799472295514512
BUF,NO,,0,,,0.9065989847715736
DET,CLE,,0,,,0.7966101694915254
HOU,TEN,,0,,,0.7519134336236474
NE,CAR,,0,,,0.6517385257301808
NYG,LAC,,0,,,0.2955665024630542
TB,PHI,,0,,,0.4050285815722364
LA,IND,,0,,,0.6341463414634145
SF,JAX,,0,,,0.6211096075778079
KC,BAL,,0,,,0.4372278664731495
LV,CHI,,0,,,0.4607930386631069
DAL,GB,,0,,,0.274796097541835
MIA,NYJ,,0,,,0.5757575757575758
DEN,CIN,,0,,,0.7373290060359733
