home_abbr,away_abbr,elo_delta_home,elo_delta_away,game_date,slug
ARI,SEA,-35.3,-36.199999999999996,20250926,20250926-SEA-ARI
PIT,MIN,-90.6,-57.2,20250928,20250928-MIN-PIT
ATL,WAS,-23.95,-42.349999999999994,20250928,20250928-WAS-ATL
BUF,NO,-36.55,-29.5,20250928,20250928-NO-BUF
DET,CLE,-26.549999999999997,-39.8,20250928,20250928-CLE-DET
HOU,TEN,-44.8,-24.4,20250928,20250928-TEN-HOU
NE,CAR,-7.35,-45.25,20250928,20250928-CAR-NE
NYG,LAC,-34.65,-42.15,20250928,20250928-LAC-NYG
TB,PHI,-50.949999999999996,-27.799999999999997,20250928,20250928-PHI-TB
LA,IND,-16.849999999999998,-26.049999999999997,20250928,20250928-IND-LA
SF,JAX,-103.05,-21.849999999999998,20250928,20250928-JAX-SF
KC,BAL,-20.15,-18.15,20250928,20250928-BAL-KC
LV,CHI,-10.149999999999999,-44.449999999999996,20250928,20250928-CHI-LV
DAL,GB,-32.2,-22.5,20250929,20250929-GB-DAL
MIA,NYJ,-38.5,-60.15,20250929,20250929-NYJ-MIA
DEN,CIN,-10.5,-54.15,20250930,20250930-CIN-DEN
