msf_game_id,game_start,home_abbr,away_abbr,venue,status
148773,2025-09-19T00:15:00.000Z,BUF,MIA,Highmark Stadium,COMPLETED
148774,2025-09-21T17:00:00.000Z,CAR,ATL,Bank of America Stadium,COMPLETED
148775,2025-09-21T17:00:00.000Z,CLE,GB,Huntington Bank Field,COMPLETED
148776,2025-09-21T17:00:00.000Z,JAX,HOU,TIAA Bank Field,COMPLETED
148777,2025-09-21T17:00:00.000Z,MIN,CIN,US Bank Stadium,COMPLETED
148778,2025-09-21T17:00:00.000Z,NE,PIT,Gillette Stadium,COMPLETED
148779,2025-09-21T17:00:00.000Z,PHI,LA,Lincoln Financial Field,COMPLETED
148780,2025-09-21T17:00:00.000Z,TB,NYJ,Raymond James Stadium,COMPLETED
148781,2025-09-21T17:00:00.000Z,TEN,IND,Nissan Stadium,COMPLETED
148782,2025-09-21T17:00:00.000Z,WAS,LV,Northwest Stadium,COMPLETED
148783,2025-09-21T20:05:00.000Z,LAC,DEN,SoFi Stadium,COMPLETED
148784,2025-09-21T20:05:00.000Z,SEA,NO,Lumen Field,COMPLETED
148785,2025-09-21T20:25:00.000Z,CHI,DAL,Soldier Field,COMPLETED
148786,2025-09-21T20:25:00.000Z,SF,ARI,Levi's Stadium,COMPLETED
148787,2025-09-22T00:20:00.000Z,NYG,KC,MetLife Stadium,COMPLETED
148788,2025-09-23T00:15:00.000Z,BAL,DET,M&T Bank Stadium,COMPLETED
