bin,p_lower,p_upper,avg_prob,empirical,count,abs_gap
0,0.0,0.05,nan,nan,0,nan
1,0.05,0.1,nan,nan,0,nan
2,0.1,0.15,nan,nan,0,nan
3,0.15,0.2,nan,nan,0,nan
4,0.2,0.25,nan,nan,0,nan
5,0.25,0.3,nan,nan,0,nan
6,0.3,0.35,nan,nan,0,nan
7,0.35,0.4,nan,nan,0,nan
8,0.4,0.45,nan,nan,0,nan
9,0.45,0.5,0.4866029755776514,0.5384615384615384,26,0.051858562883887016
10,0.5,0.55,0.5258467232399979,0.6929824561403509,114,0.167135732900353
11,0.55,0.6,0.5635147851152306,0.8421052631578947,38,0.2785904780426641
12,0.6,0.65,nan,nan,0,nan
13,0.65,0.7,nan,nan,0,nan
14,0.7,0.75,nan,nan,0,nan
15,0.75,0.8,nan,nan,0,nan
16,0.8,0.85,nan,nan,0,nan
17,0.85,0.9,nan,nan,0,nan
18,0.9,0.95,nan,nan,0,nan
19,0.95,1.0,nan,nan,0,nan
