date,away_team,home_team,p_home,home_win,correct
2025-09-05,DAL,PHI,0.6896546309704731,1,✓
2025-09-06,KC,LAC,0.4776682095875304,1,✗
2025-09-07,ARI,NO,0.7030755386331898,0,✗
2025-09-07,CAR,JAX,0.7124020682756511,1,✓
2025-09-07,CIN,CLE,0.544965547507749,0,✗
2025-09-07,DET,GB,0.6914250889722435,1,✓
2025-09-07,HOU,LAR,0.6400210066007916,1,✓
2025-09-07,LV,NE,0.5945561295167043,0,✗
2025-09-07,MIA,IND,0.6436053600725189,1,✓
2025-09-07,NYG,WAS,0.7119898557848695,1,✓
2025-09-07,PIT,NYJ,0.5221732560968325,0,✗
2025-09-07,SF,SEA,0.5905095736168543,0,✗
2025-09-07,TB,ATL,0.4791612194969079,0,✓
2025-09-07,TEN,DEN,0.7560246518533907,1,✓
2025-09-08,BAL,BUF,0.6771539914593759,1,✓
2025-09-09,MIN,CHI,0.547931217928729,0,✗
