home_team,away_team,vegas_line,sigma,win_prob_home,market_prob_home,model_minus_market,abs_model_minus_market,kickoff_utc,neutral_site
PHI,DAL,-8.0,13.5,0.4261,0.7232730811922007,-0.2971730811922007,0.2971730811922007,2025-09-05 00:21:00+00:00,False
LAC,KC,3.0,13.5,0.4142,0.4120704478709426,0.0021295521290574104,0.0021295521290574104,2025-09-06 00:01:00+00:00,True
ATL,TB,2.5,13.5,0.4379,0.42654189431596573,0.011358105684034281,0.011358105684034281,2025-09-07 17:00:00+00:00,False
JAX,CAR,-3.5,13.5,0.642,0.6022823943305156,0.03971760566948446,0.03971760566948446,2025-09-07 17:00:00+00:00,False
WAS,NYG,-6.0,13.5,0.4356,0.6716393567181148,-0.23603935671811482,0.23603935671811482,2025-09-07 17:00:00+00:00,False
NO,ARI,6.5,13.5,0.6627,0.31508716908375517,0.3476128309162448,0.3476128309162448,2025-09-07 17:01:00+00:00,False
CLE,CIN,5.5,13.5,0.4842,0.3418543937003952,0.1423456062996048,0.1423456062996048,2025-09-07 17:01:00+00:00,False
IND,MIA,-1.0,13.5,0.507,0.529524277767397,-0.02252427776739696,0.02252427776739696,2025-09-07 17:01:00+00:00,False
NE,LV,-2.5,13.5,0.3525,0.5734581056840342,-0.22095810568403423,0.22095810568403423,2025-09-07 17:01:00+00:00,False
NYJ,PIT,2.5,13.5,0.5683,0.42654189431596573,0.1417581056840343,0.1417581056840343,2025-09-07 17:01:00+00:00,False
DEN,TEN,-8.0,13.5,0.3488,0.7232730811922007,-0.3744730811922007,0.3744730811922007,2025-09-07 20:06:00+00:00,False
SEA,SF,2.5,13.5,0.3729,0.42654189431596573,-0.05364189431596572,0.05364189431596572,2025-09-07 20:06:00+00:00,False
GB,DET,-2.5,13.5,0.417,0.5734581056840342,-0.15645810568403423,0.15645810568403423,2025-09-07 20:26:00+00:00,False
LAR,HOU,-3.0,13.5,0.3636,0.5879295521290574,-0.22432955212905742,0.22432955212905742,2025-09-07 20:26:00+00:00,False
BUF,BAL,0.0,13.5,0.4721,0.5,-0.02789999999999998,0.02789999999999998,2025-09-08 00:21:00+00:00,False
CHI,MIN,1.5,13.5,0.4593,0.4557641189546886,0.0035358810453113843,0.0035358810453113843,2025-09-09 00:16:00+00:00,False
